,OBJECTID,IMPROVEMEN,DAMAGE,HOME_OWNER,SQUARE_FOO,income_indiv,home_ins,fin_asset,geometry,dollar_needed,balance,insurance,fema,sba,cdbg,bank,ngo,param,insurance_time,fema_time,sba_time,cdbg_time,bank_time,ngo_time,param_time,total_time,cdbg_tier,savings,cons_time,cons_start,cons_finish
14380,418188,426413,1,H,2563,417379.991030233,259376.28,819441.0,0,852.826,0.0,0.0,0.0,0.0,0.0,852.826,0.0,0,0.0,0.0,0.0,0.0,45.71473297255306,0.0,0,45.71473297255306,4,0.0,2.93040105764556,45.71473297255306,48.64513403019862
14381,418227,135097,1,H,2076,47811.307813812695,135097.0,720365.0,0,270.194,270.194,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.6387387588752143,,
14382,418366,208388,1,H,2181,154704.3890725529,208388.0,1124050.0,0,416.776,0.0,0.0,0.0,0.0,0.0,416.776,0.0,0,0.0,0.0,0.0,0.0,136.932741850859,0.0,0,136.932741850859,4,0.0,2.2732101121452057,136.932741850859,139.2059519630042
14383,419711,121946,1,H,1660,109489.21090654172,121946.0,684989.0,0,243.892,0.0,0.0,0.0,109.507508,0.0,134.384492,0.0,0,0.0,0.0,40.11936746911208,0.0,27.13514637532209,0.0,0,67.25451384443417,4,0.0,2.378347915043908,67.25451384443417,69.63286175947808
14384,419713,39795,1,H,1032,67268.04627454962,39795.0,808778.0,0,79.59,0.0,0.0,0.0,0.0,0.0,79.59,0.0,0,0.0,0.0,0.0,0.0,36.07332105517229,0.0,0,36.07332105517229,2,0.0,2.907574934087126,36.07332105517229,38.98089598925942
14385,419716,72426,1,H,1400,54357.60627249521,72426.0,684989.0,0,144.852,0.0,0.0,0.0,65.038548,0.0,79.813452,0.0,0,0.0,0.0,55.710666562985146,0.0,40.1555786229558,0.0,0,95.86624518594095,2,0.0,1.787705013547703,95.86624518594095,97.65395019948866
14386,419717,33814,1,H,1220,221386.4133435254,33814.0,684989.0,0,67.628,0.0,0.0,0.0,0.0,0.0,67.628,0.0,0,0.0,0.0,0.0,0.0,158.7894699321831,0.0,0,158.7894699321831,4,0.0,2.470746652276189,158.7894699321831,161.26021658445927
14387,419721,57112,1,H,1340,141020.4908139181,57112.0,815399.0,0,114.224,0.0,0.0,0.0,0.0,0.0,114.224,0.0,0,0.0,0.0,0.0,0.0,251.4801675558045,0.0,0,251.4801675558045,4,0.0,2.2558767671903035,251.4801675558045,253.73604432299481
14388,419729,76488,1,H,2159,103578.92004957767,76488.0,684989.0,0,152.976,0.0,0.0,0.0,0.0,0.0,152.976,0.0,0,0.0,0.0,0.0,0.0,26.16218906537437,0.0,0,26.16218906537437,4,0.0,1.7452058636704968,26.16218906537437,27.907394929044866
14389,419733,152871,1,H,1185,10045.88329899136,152871.0,684989.0,0,305.742,305.742,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,3.1939245963847402,,
14390,419749,150702,1,H,1359,111403.13273015266,150702.0,684989.0,0,301.404,0.0,0.0,0.0,135.330396,0.0,166.073604,0.0,0,0.0,0.0,56.81742551686014,0.0,63.59920034827344,0.0,0,120.41662586513358,4,0.0,2.6383695932284685,120.41662586513358,123.05499545836206
14391,419753,228124,1,H,1705,196875.6129782382,228124.0,776941.0,0,456.248,0.0,0.0,0.0,0.0,0.0,456.248,0.0,0,0.0,0.0,0.0,0.0,79.45617175518923,0.0,0,79.45617175518923,4,0.0,2.2716913983275724,79.45617175518923,81.72786315351681
14392,419770,459000,1,H,1720,228414.35340444863,246448.46,762035.0,0,918.0,0.0,0.0,0.0,0.0,0.0,918.0,0.0,0,0.0,0.0,0.0,0.0,18.046364467360902,0.0,0,18.046364467360902,4,0.0,3.230440420744273,18.046364467360902,21.276804888105175
14393,419778,272720,1,H,1402,87400.644571325,246448.46,762035.0,0,545.44,0.0,0.0,0.0,0.0,0.0,545.44,0.0,0,0.0,0.0,0.0,0.0,141.82281782558243,0.0,0,141.82281782558243,4,0.0,3.7848876131930544,141.82281782558243,145.6077054387755
14394,419781,265172,1,H,1402,91241.00148111186,246448.46,762035.0,0,530.344,0.0,0.0,0.0,0.0,0.0,530.344,0.0,0,0.0,0.0,0.0,0.0,136.47965952275965,0.0,0,136.47965952275965,4,0.0,1.4553199250475042,136.47965952275965,137.93497944780714
14395,420202,43371,1,H,1627,189072.20673880083,43371.0,983113.0,0,86.742,0.0,0.0,0.0,38.947158,0.0,47.794842,0.0,0,0.0,0.0,17.455717373686152,0.0,27.26297436316422,0.0,0,44.718691736850374,4,0.0,1.7715576882175585,44.718691736850374,46.49024942506793
14396,420243,220932,1,H,1779,154623.13673880658,220932.0,838696.0,0,441.86400000000003,0.0,0.0,0.0,198.396936,0.0,243.46706400000002,0.0,0,0.0,0.0,27.937316915656012,0.0,45.12782659050709,0.0,0,73.06514350616311,4,0.0,2.7554516952847026,73.06514350616311,75.82059520144782
14397,420317,14304,1,H,1008,15882.850976063552,14304.0,204785.0,0,28.608,28.608,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,2.9976973535391704,,
14398,420329,123079,2,H,1159,29838.22002882368,123079.0,204785.0,0,12307.900000000001,12307.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,51.28356457975401,,
14399,420562,336099,1,H,2683,220058.894379064,254701.59,734446.0,0,672.198,0.0,0.0,0.0,0.0,0.0,672.198,0.0,0,0.0,0.0,0.0,0.0,38.20500152894755,0.0,0,38.20500152894755,4,0.0,2.7315695504312125,38.20500152894755,40.93657107937876
14400,420584,207632,2,H,1728,228215.2382972764,207632.0,908751.0,0,20763.2,0.0,0.0,0.0,0.0,0.0,20763.2,0.0,0,0.0,0.0,0.0,0.0,32.45186647786813,0.0,0,32.45186647786813,4,0.0,15.350275661467796,32.45186647786813,47.80214213933593
14401,420638,49747,1,H,1872,77885.8464258803,49747.0,987713.0,0,99.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,99.494,1.3853536214529,0.0,1.3853536214529
14402,420712,67949,1,H,1067,51140.879545601965,67949.0,734446.0,0,135.898,135.898,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,3.401073686469322,,
14403,420718,202493,1,H,1498,70005.7426141227,202493.0,626041.0,0,404.986,0.0,0.0,0.0,181.838714,0.0,223.14728599999998,0.0,0,0.0,0.0,26.35861408783039,0.0,80.36782733627415,0.0,0,106.72644142410454,2,0.0,1.7463405658258453,106.72644142410454,108.47278198993038
14404,420724,80694,1,H,1341,38800.28163052783,80694.0,626041.0,0,161.388,161.388,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,2.53183576290981,,
14405,420725,257645,1,H,1257,107970.6510014514,249899.5,626041.0,0,515.29,0.0,0.0,0.0,0.0,0.0,515.29,0.0,0,0.0,0.0,0.0,0.0,73.61130285530503,0.0,0,73.61130285530503,4,0.0,1.705497249922127,73.61130285530503,75.31680010522716
14406,420726,238881,1,H,1398,82234.82297455924,238881.0,626041.0,0,477.762,0.0,0.0,0.0,214.515138,0.0,263.24686199999996,0.0,0,0.0,0.0,27.488821030536503,0.0,88.41296831217969,0.0,0,115.90178934271619,2,0.0,1.8055776177237977,115.90178934271619,117.70736696043998
14407,420728,152037,1,H,1380,86439.90164679903,152037.0,734446.0,0,304.074,0.0,0.0,0.0,0.0,0.0,304.074,0.0,0,0.0,0.0,0.0,0.0,33.85720628752232,0.0,0,33.85720628752232,4,0.0,2.917676141728008,33.85720628752232,36.774882429250326
14408,420736,167619,1,H,1785,339993.8369645484,167619.0,734446.0,0,335.238,0.0,0.0,0.0,0.0,0.0,335.238,0.0,0,0.0,0.0,0.0,0.0,113.23215609003374,0.0,0,113.23215609003374,4,0.0,1.5954784834277596,113.23215609003374,114.8276345734615
14409,420741,455510,2,H,1380,54799.13050693974,260297.8,908751.0,0,45551.0,0.0,0.0,0.0,20452.399,0.0,25098.601,0.0,0,0.0,0.0,109.10176109647436,0.0,263.99431277570096,0.0,0,373.09607387217534,2,0.0,22.269533055169223,373.09607387217534,395.3656069273446
14410,420744,207209,1,H,1380,69171.95947566685,207209.0,734446.0,0,414.418,0.0,0.0,0.0,186.07368200000002,0.0,228.344318,0.0,0,0.0,0.0,12.5146686484234,0.0,76.0683244105475,0.0,0,88.5829930589709,2,0.0,1.5005542944342005,88.5829930589709,90.0835473534051
